Ticker,Stock,Price,Dividend,High,Low,Ex-date,Pay-Date
WWR,"Westwater Resources, Inc.",$1.60,0,$10.00,$1.41,,
TOCA,Tocagen Inc.,$2.11,0,$11.30,$0.42,,
AVCO,Avalon GloboCare Corp.,$1.36,0,$5.63,$1.23,,
TORC,"resTORbio, Inc.",$1.26,0,$11.96,$0.94,,
ACB,Aurora Cannabis Inc.,$0.95,0,$10.32,$0.90,,
SEEL,"Seelos Therapeutics, Inc.",$0.87,0,$4.19,$0.72,,
AQMS,"Aqua Metals, Inc.",$0.69,0,$4.33,$0.41,,
INAP,Internap Corporation,$0.40,0,$5.99,$0.38,,
TEUM,Pareteum Corporation,$0.47,0,$5.93,$0.29,,
VTGN,"VistaGen Therapeutics, Inc.",$0.42,0,$1.49,$0.29,,
TRQ,Turquoise Hill Resources Ltd.,$0.45,0,$1.81,$0.40,,
RTTR,"Ritter Pharmaceuticals, Inc.",$0.36,0,$1.35,$0.15,,
RTTR,"Ritter Pharmaceuticals, Inc.",$0.36,0,$1.35,$0.15,,
SNMP,Sanchez Midstream Partners LP,$0.32,$0.60,$3.12,$0.22,,
CNAT,Conatus Pharmaceuticals Inc.,$0.36,0,$3.08,$0.25,,
ROYT,Pacific Coast Oil Trust,$0.22,0,$2.37,$0.18,,
CHK,Chesapeake Energy Corporation,$0.16,0,$3.57,$0.12,,
ESTR,"Estre Ambiental, Inc.",$0.02,0,$4.10,$0.02,,
YECOF,YULONG ECO-MATERIALS LTD,$0.03,0,$0.40,$0.02,,
ZOM,Zomedica Pharmaceuticals Corp.,$0.21,0,$0.94,$0.12,,
MRNA,"Moderna, Inc.",$24.29,0,$36.00,$11.54,,
INO,"Inovio Pharmaceuticals, Inc.",$9.83,0,$19.36,$1.92,,
